MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,111.872,91.6614,533.518,-441.856,2,293.417,292.38,1,1,1,0,293.417,293.417
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,42.2304,90.4492,308.024,-217.575,2,238.459,237.698,1,1,1,0,238.459,238.459
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,10.5871,89.9048,285.283,-195.378,2,286.411,285.283,1,1,1,0,286.411,286.411
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,25.4738,88.4398,291.001,-202.561,2,292.22,291.001,1,1,1,0,292.22,292.22
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,69.049,701.869,291.587,410.282,2,294.379,280.667,1,1,2,1,294.379,294.379
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,29.6377,90.3362,346.254,-255.918,2,254.398,251.829,1,1,1,0,254.398,254.398
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,43.6431,740.259,289.891,450.368,2,294.987,288.069,1,1,2,1,294.987,294.987
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,34.4781,95.2339,359.809,-264.575,2,191.335,169.587,2,0,2,0,191.335,0
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,34.4781,95.2339,359.809,-264.575,2,156.033,155.591,2,0,1,0,191.335,0
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,68.0998,87.9897,358.887,-270.897,2,186.401,184.004,1,0,1,0,186.401,0
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,15.5513,87.2546,286.932,-199.677,2,262.041,260.933,1,1,1,0,262.041,262.041
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,53.8853,92.7734,253.408,-160.635,2,254.029,253.408,1,1,1,0,254.029,254.029
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,24.1861,99.777,337.018,-237.241,2,213.479,212.587,1,1,1,0,213.479,213.479
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,46.8065,92.847,311.37,-218.524,2,203.616,202.175,1,1,1,0,203.616,203.616
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,99.2904,95.571,299.895,-204.324,2,273.63,272.572,1,1,1,0,273.63,273.63
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,70.969,95.1738,283.17,-187.996,2,241.502,239.973,1,1,1,0,241.502,241.502
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,41.8478,87.4882,414.463,-326.974,2,217.613,216.682,1,1,1,0,217.613,217.613
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,92.5982,991.865,277.956,713.909,2,285.781,264.566,1,1,3,1,285.781,285.781
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,17.4597,86.6637,350.263,-263.599,2,289.259,287.894,1,1,1,0,289.259,289.259
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,77.7265,697.627,315.101,382.526,2,285.584,274.86,1,1,2,1,285.584,285.584
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,69.5867,93.0425,252.002,-158.959,2,252.522,252.002,1,1,1,0,252.522,252.522
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,63.8749,93.7301,532.806,-439.076,2,346.834,345.412,1,1,1,0,346.834,346.834
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,10.1131,88.961,315.316,-226.355,2,220.579,219,1,1,1,0,220.579,220.579
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,125.041,90.2906,315.994,-225.704,2,180.997,180.429,1,0,1,0,180.997,0
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,13.8743,87.6205,323.596,-235.975,2,261.382,260.372,1,1,1,0,261.382,261.382
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,8.58366,90.3892,352.556,-262.167,2,284.32,281.585,1,1,1,0,284.32,284.32
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,12.3167,95.2191,258.293,-163.074,2,204.552,203.925,1,1,1,0,204.552,204.552
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,82.8178,613.516,274.103,339.413,2,277.393,243.197,1,1,2,1,277.393,277.393
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,37.6905,92.1761,401.098,-308.922,2,223.41,222.543,1,1,1,0,223.41,223.41
MET1 MET mZt HT mZt-HT topflag mass pt Njet_from_vectorsize Njet_goodjets  Nconst Ntops vrc_maxM_pre0 vrc_maxM,6.9248,925.66,457.174,468.486,2,321.973,312.444,1,1,2,1,321.973,321.973
